Child ID,Age,Gender,Region,Abuse Type,Severity,Reported By,Support Provided,Case Outcome,Case Description,Date,Timestamp,Address,County,Notes,Confidence Score,Flagged,Case Status,Assigned Investigator
49,13.0,Other,Rural,Neglect,Medium,Police,Yes,Dismissed,Child often appears hungry and unwashed. Unconfirmed report.,2024-03-14,00:15:50,"794 Cedar St, Tupelo, MS",Hinds County,,0.0,True,Ongoing,Unassigned
50,5.0,Female,Urban,Sexual,Medium,Neighbor,No,Ongoing,Inappropriate comments made by caregiver. Unconfirmed report.,2024-01-06,15:52:28,"969 Main St, Hattiesburg, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
51,10.0,Other,Rural,Sexual,Medium,Teacher,No,Resolved,"Unusual behavior, child refuses to discuss. Typo heree.",2020-01-10,08:05:23,"965 Church St, Horn Lake, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
52,6.0,Other,Suburban,Unknown,Medium,Police,Yes,Dismissed,"Unusual behavior, child refuses to discuss. Unclear details.",2022-01-05,15:48:12,"242 Maple Ave, Meridian, MS",Lamar County,,0.0,True,Ongoing,Unassigned
53,13.0,Male,Urban,Physical,Medium,Other,Yes,Ongoing,Seen limping and reluctant to explain. Typo heree.,2013-02-19,07:08:53,"754 Oak St, Greenville, MS",Hinds County,,0.0,True,Ongoing,Unassigned
54,1.0,Male,Rural,Physical,High,Other,Yes,Ongoing,Seen limping and reluctant to explain. Unconfirmed report.,2018-04-02,21:22:02,"698 Broadway St, Horn Lake, MS",Jackson County,,0.0,True,Ongoing,Unassigned
55,15.0,Other,Rural,Sexual,Low,Parent,Yes,Ongoing,"Signs of trauma, reported by neighbor. Unconfirmed report.",2020-04-26,22:23:56,"317 Highland Ave, Biloxi, MS",Harrison County,,0.0,True,Ongoing,Unassigned
56,14.0,Male,Rural,Emotional,Medium,Neighbor,Yes,Resolved,Reports of constant yelling and verbal abuse. Unclear details.,2012-04-18,16:59:48,"726 Maple Ave, Horn Lake, MS",Madison County,,0.0,True,Ongoing,Unassigned
57,8.0,Female,Urban,Neglect,High,Teacher,Yes,Resolved,Child often appears hungry and unwashed. Unconfirmed report.,2010-07-26,13:02:15,"109 Main St, Tupelo, MS",Forrest County,,0.0,True,Ongoing,Unassigned
58,10.0,Female,Suburban,Neglect,High,Parent,Yes,Resolved,Child often appears hungry and unwashed.,2010-02-24,07:44:09,"839 Broadway St, Gulfport, MS",Jackson County,,0.0,True,Ongoing,Unassigned
59,9.0,Male,Rural,Physical,Medium,Neighbor,Yes,Dismissed,Child reported with bruises and scars. Unclear details.,2014-06-21,04:17:49,"956 Cedar St, Hattiesburg, MS",Jackson County,,0.0,True,Ongoing,Unassigned
60,17.0,Female,Rural,Neglect,Medium,Police,No,Resolved,"Repeated absence from school, reported malnutrition. Unclear details.",2011-06-13,18:55:21,"926 Cedar St, Meridian, MS",Hinds County,,0.0,True,Ongoing,Unassigned
61,9.0,Male,Rural,Emotional,High,Other,Yes,Dismissed,Low self-esteem observed by teacher. Unconfirmed report.,2021-04-28,21:58:22,"186 Maple Ave, Horn Lake, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
62,3.0,Other,Rural,Neglect,High,Teacher,Yes,Ongoing,"Repeated absence from school, reported malnutrition.",2012-04-16,11:35:47,"397 Church St, Olive Branch, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
63,11.0,Other,Rural,Physical,Medium,Other,Yes,Ongoing,"Frequent injuries, parents claim accidental. Unconfirmed report.",2012-05-14,04:11:41,"388 Pine St, Gulfport, MS",Rankin County,,0.0,True,Ongoing,Unassigned
64,12.0,Female,Suburban,Physical,Low,Police,No,Resolved,Seen limping and reluctant to explain. Unconfirmed report.,2017-05-22,09:23:23,"545 Church St, Gulfport, MS",Madison County,,0.0,True,Ongoing,Unassigned
65,10.0,Male,Suburban,Emotional,Low,Neighbor,Yes,Ongoing,Low self-esteem observed by teacher. Typo heree.,2014-04-30,19:39:16,"912 Park Ave, Tupelo, MS",Forrest County,,0.0,True,Ongoing,Unassigned
66,17.0,Male,Rural,Emotional,Low,Police,No,Resolved,Low self-esteem observed by teacher.,2015-09-08,18:41:46,"223 Church St, Jackson, MS",Jackson County,,0.0,True,Ongoing,Unassigned
67,17.0,Female,Urban,Neglect,Medium,Police,Yes,Dismissed,"Repeated absence from school, reported malnutrition.",2013-04-29,07:47:30,"266 Maple Ave, Meridian, MS",Harrison County,,0.0,True,Ongoing,Unassigned
68,11.0,Other,Suburban,Neglect,Low,Other,No,Ongoing,"Repeated absence from school, reported malnutrition. Typo heree.",2016-02-18,06:46:57,"168 Main St, Horn Lake, MS",Lee County,,0.0,True,Ongoing,Unassigned
69,4.0,Female,Urban,Physical,Medium,Teacher,No,Resolved,Seen limping and reluctant to explain. Typo heree.,2018-11-12,13:30:57,"199 Broadway St, Hattiesburg, MS",Hinds County,,0.0,True,Ongoing,Unassigned
70,7.0,Other,Suburban,Emotional,Medium,Police,Yes,Ongoing,Child shows signs of withdrawal and fear. Typo heree.,2017-01-18,07:27:20,"493 Park Ave, Biloxi, MS",Hinds County,,0.0,True,Ongoing,Unassigned
71,14.0,Male,Rural,Emotional,Low,Other,Yes,Ongoing,Reports of constant yelling and verbal abuse. Unclear details.,2020-12-17,15:28:08,"782 Broadway St, Jackson, MS",Lee County,,0.0,True,Ongoing,Unassigned
72,7.0,Other,Suburban,Emotional,High,Teacher,Yes,Resolved,Reports of constant yelling and verbal abuse.,2010-03-16,07:50:58,"518 Broadway St, Horn Lake, MS",Rankin County,,0.0,True,Ongoing,Unassigned
73,8.0,Female,Rural,Neglect,Medium,Neighbor,Yes,Ongoing,"Repeated absence from school, reported malnutrition. Typo heree.",2016-11-29,23:21:31,"978 Main St, Gulfport, MS",Rankin County,,0.0,True,Ongoing,Unassigned
74,1.0,Male,Suburban,Emotional,Low,Neighbor,Yes,Ongoing,Low self-esteem observed by teacher. Unclear details.,2012-11-13,04:02:43,"594 Oak St, Gulfport, MS",Lee County,,0.0,True,Ongoing,Unassigned
75,4.0,Female,Rural,Physical,High,Parent,Yes,Ongoing,Seen limping and reluctant to explain.,2022-09-10,13:04:40,"931 Park Ave, Hattiesburg, MS",Jackson County,,0.0,True,Ongoing,Unassigned
76,12.0,Female,Rural,Physical,Low,Unknown,Yes,Ongoing,Seen limping and reluctant to explain. Typo heree.,2017-06-10,04:26:41,"501 Oak St, Hattiesburg, MS",Forrest County,,0.0,True,Ongoing,Unassigned
77,3.0,Other,Rural,Neglect,Medium,Teacher,Yes,Dismissed,"Repeated absence from school, reported malnutrition. Unclear details.",2024-12-30,12:28:17,"663 Broadway St, Meridian, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
78,13.0,Female,Rural,Sexual,Medium,Police,Yes,Ongoing,"Unusual behavior, child refuses to discuss. Typo heree.",2014-09-04,21:09:55,"394 Oak St, Tupelo, MS",Madison County,,0.0,True,Ongoing,Unassigned
79,6.0,Other,Urban,Neglect,Medium,Neighbor,Yes,Ongoing,Child often appears hungry and unwashed.,2020-12-07,11:19:58,"322 Church St, Hattiesburg, MS",Rankin County,,0.0,True,Ongoing,Unassigned
80,11.0,Male,Rural,Sexual,High,Teacher,Yes,Resolved,"Signs of trauma, reported by neighbor. Typo heree.",2018-09-30,23:20:18,"288 Main St, Southaven, MS",Rankin County,,0.0,True,Ongoing,Unassigned
81,4.0,Other,Urban,Emotional,Medium,Other,Yes,Dismissed,Reports of constant yelling and verbal abuse.,2017-12-07,23:35:07,"461 Pine St, Biloxi, MS",Forrest County,,0.0,True,Ongoing,Unassigned
82,16.0,Male,Urban,Neglect,Medium,Parent,Yes,Resolved,Child often appears hungry and unwashed. Typo heree.,2013-08-15,21:34:42,"933 Church St, Olive Branch, MS",Harrison County,,0.0,True,Ongoing,Unassigned
83,7.0,Other,Rural,Physical,Low,Neighbor,Yes,Resolved,"Frequent injuries, parents claim accidental. Unclear details.",2017-01-12,04:58:34,"116 Pine St, Olive Branch, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
84,11.0,Female,Urban,Emotional,Low,Teacher,No,Resolved,Child shows signs of withdrawal and fear. Unclear details.,2014-06-08,13:24:04,"615 Oak St, Gulfport, MS",Rankin County,,0.0,True,Ongoing,Unassigned
85,1.0,Other,Suburban,Physical,High,Teacher,Yes,Dismissed,Seen limping and reluctant to explain.,2010-06-21,17:29:19,"495 Park Ave, Tupelo, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
86,7.0,Other,Rural,Emotional,Medium,Teacher,Yes,Resolved,Child shows signs of withdrawal and fear. Unconfirmed report.,2015-11-20,06:32:12,"785 Broadway St, Horn Lake, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
87,12.0,Male,Urban,Neglect,Medium,Other,Yes,Resolved,Child often appears hungry and unwashed. Unclear details.,2015-06-29,15:58:24,"469 Pine St, Gulfport, MS",Harrison County,,0.0,True,Ongoing,Unassigned
88,7.0,Female,Rural,Sexual,Medium,Other,No,Resolved,"Unusual behavior, child refuses to discuss. Unconfirmed report.",2019-08-01,11:09:27,"117 Highland Ave, Tupelo, MS",Hinds County,,0.0,True,Ongoing,Unassigned
89,7.0,Other,Rural,Emotional,Medium,Other,No,Ongoing,Low self-esteem observed by teacher. Unclear details.,2017-10-27,13:04:17,"825 River Rd, Tupelo, MS",Rankin County,,0.0,True,Ongoing,Unassigned
90,10.0,Female,Rural,Sexual,Low,Police,No,Resolved,Inappropriate comments made by caregiver. Unconfirmed report.,2013-02-02,17:07:47,"609 Pine St, Olive Branch, MS",Hinds County,,0.0,True,Ongoing,Unassigned
91,16.0,Other,Urban,Emotional,Medium,Teacher,Yes,Dismissed,Child shows signs of withdrawal and fear. Unclear details.,2017-01-08,02:21:25,"676 Church St, Greenville, MS",Madison County,,0.0,True,Ongoing,Unassigned
92,8.0,Other,Suburban,Physical,Medium,Neighbor,Yes,Dismissed,Seen limping and reluctant to explain. Typo heree.,2016-12-07,22:17:28,"982 Maple Ave, Tupelo, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
93,9.0,Female,Suburban,Physical,Low,Other,Yes,Ongoing,"Frequent injuries, parents claim accidental. Typo heree.",2012-06-03,12:15:02,"154 River Rd, Olive Branch, MS",Hinds County,,0.0,True,Ongoing,Unassigned
94,9.0,Other,Urban,Emotional,Low,Other,Yes,Dismissed,Reports of constant yelling and verbal abuse. Unconfirmed report.,2012-06-28,14:56:48,"771 Oak St, Jackson, MS",Forrest County,,0.0,True,Ongoing,Unassigned
95,2.0,Female,Rural,Sexual,Low,Teacher,No,Dismissed,"Unusual behavior, child refuses to discuss. Unclear details.",2023-08-01,06:18:21,"821 Maple Ave, Biloxi, MS",Rankin County,,0.0,True,Ongoing,Unassigned
96,13.0,Other,Urban,Neglect,Medium,Other,Yes,Ongoing,Child often appears hungry and unwashed.,2011-07-08,16:56:33,"117 Cedar St, Hattiesburg, MS",Lee County,,0.0,True,Ongoing,Unassigned
97,13.0,Male,Urban,Neglect,High,Police,No,Resolved,"No supervision at home, child wandering streets.",2024-10-25,21:41:07,"794 River Rd, Tupelo, MS",Madison County,,0.0,True,Ongoing,Unassigned
98,4.0,Female,Urban,Physical,Low,Police,Yes,Ongoing,Seen limping and reluctant to explain. Unclear details.,2019-11-02,08:39:43,"536 Highland Ave, Greenville, MS",Lamar County,,0.0,True,Ongoing,Unassigned
99,12.0,Other,Rural,Neglect,Low,Other,No,Resolved,"Repeated absence from school, reported malnutrition. Unclear details.",2013-07-17,07:58:48,"127 Highland Ave, Horn Lake, MS",Lamar County,,0.0,True,Ongoing,Unassigned
100,17.0,Other,Urban,Physical,Medium,Teacher,Yes,Resolved,Child reported with bruises and scars.,2018-10-07,00:18:37,"860 Highland Ave, Hattiesburg, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
101,2.0,Male,Rural,Neglect,Medium,Teacher,Yes,Dismissed,"Repeated absence from school, reported malnutrition.",2013-10-10,00:05:21,"385 Pine St, Biloxi, MS",Harrison County,,0.0,True,Ongoing,Unassigned
102,13.0,Female,Urban,Emotional,Medium,Teacher,Yes,Ongoing,Child shows signs of withdrawal and fear.,2020-06-29,23:19:51,"786 Park Ave, Meridian, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
103,15.0,Other,Suburban,Physical,Medium,Parent,Yes,Dismissed,Child reported with bruises and scars. Typo heree.,2011-06-07,20:50:21,"582 Maple Ave, Jackson, MS",Lamar County,,0.0,True,Ongoing,Unassigned
104,8.0,Male,Urban,Physical,Medium,Other,Yes,Dismissed,Child reported with bruises and scars. Unclear details.,2012-12-13,09:30:47,"343 Oak St, Meridian, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
105,15.0,Other,Urban,Emotional,Medium,Teacher,No,Resolved,Reports of constant yelling and verbal abuse. Unconfirmed report.,2023-08-05,22:19:38,"601 Pine St, Hattiesburg, MS",Rankin County,,0.0,True,Ongoing,Unassigned
106,1.0,Female,Suburban,Physical,High,Police,Yes,Dismissed,Child reported with bruises and scars. Unclear details.,2013-07-15,09:06:19,"723 Highland Ave, Biloxi, MS",Hinds County,,0.0,True,Ongoing,Unassigned
107,10.0,Other,Rural,Neglect,High,Neighbor,Yes,Ongoing,"Repeated absence from school, reported malnutrition. Unconfirmed report.",2022-04-16,11:52:03,"778 Pine St, Tupelo, MS",Forrest County,,0.0,True,Ongoing,Unassigned
108,12.0,Other,Rural,Neglect,Low,Neighbor,Yes,Dismissed,Child often appears hungry and unwashed. Unconfirmed report.,2013-07-27,15:43:36,"302 Main St, Meridian, MS",Harrison County,,0.0,True,Ongoing,Unassigned
109,5.0,Other,Urban,Physical,Low,Teacher,Yes,Dismissed,"Frequent injuries, parents claim accidental. Unclear details.",2015-12-24,17:52:57,"232 Highland Ave, Greenville, MS",Jackson County,,0.0,True,Ongoing,Unassigned
110,9.0,Other,Suburban,Neglect,Low,Neighbor,No,Resolved,Child often appears hungry and unwashed.,2017-05-03,11:16:06,"559 Highland Ave, Gulfport, MS",Forrest County,,0.0,True,Ongoing,Unassigned
111,8.0,Male,Rural,Sexual,Medium,Neighbor,No,Ongoing,"Signs of trauma, reported by neighbor. Unconfirmed report.",2019-11-20,22:58:32,"995 Broadway St, Southaven, MS",Rankin County,,0.0,True,Ongoing,Unassigned
112,16.0,Male,Urban,Physical,High,Parent,No,Dismissed,"Frequent injuries, parents claim accidental. Unconfirmed report.",2024-08-17,23:27:27,"181 River Rd, Hattiesburg, MS",Lee County,,0.0,True,Ongoing,Unassigned
113,14.0,Female,Suburban,Emotional,Medium,Police,No,Resolved,Reports of constant yelling and verbal abuse. Unconfirmed report.,2023-11-21,13:42:59,"980 Oak St, Horn Lake, MS",Madison County,,0.0,True,Ongoing,Unassigned
114,13.0,Male,Rural,Sexual,Low,Police,No,Dismissed,"Signs of trauma, reported by neighbor.",2020-07-17,03:15:09,"518 River Rd, Olive Branch, MS",Harrison County,,0.0,True,Ongoing,Unassigned
115,13.0,Male,Rural,Physical,Medium,Parent,Yes,Ongoing,Seen limping and reluctant to explain.,2011-09-29,06:58:11,"732 Highland Ave, Tupelo, MS",Jackson County,,0.0,True,Ongoing,Unassigned
116,5.0,Female,Suburban,Emotional,Medium,Parent,No,Dismissed,Child shows signs of withdrawal and fear. Unconfirmed report.,2010-05-10,10:29:40,"806 Pine St, Hattiesburg, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
117,16.0,Male,Suburban,Neglect,Low,Neighbor,Yes,Dismissed,"Repeated absence from school, reported malnutrition. Typo heree.",2020-05-12,23:15:26,"295 Cedar St, Southaven, MS",Forrest County,,0.0,True,Ongoing,Unassigned
118,11.0,Male,Suburban,Emotional,Medium,Other,Yes,Resolved,Child shows signs of withdrawal and fear. Unclear details.,2014-12-13,07:20:37,"303 Maple Ave, Hattiesburg, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
119,5.0,Female,Suburban,Sexual,Medium,Neighbor,Yes,Dismissed,"Unusual behavior, child refuses to discuss. Unclear details.",2024-01-16,04:22:04,"104 Church St, Jackson, MS",Lamar County,,0.0,True,Ongoing,Unassigned
120,13.0,Female,Urban,Neglect,Medium,Parent,No,Resolved,"Repeated absence from school, reported malnutrition. Unconfirmed report.",2015-04-05,19:34:21,"823 Oak St, Olive Branch, MS",Madison County,,0.0,True,Ongoing,Unassigned
121,11.0,Female,Suburban,Physical,Low,Police,No,Ongoing,Child reported with bruises and scars. Unconfirmed report.,2023-03-10,02:35:58,"109 Park Ave, Southaven, MS",Rankin County,,0.0,True,Ongoing,Unassigned
122,3.0,Unknow,Rural,Neglect,Low,Neighbor,Yes,Dismissed,Child often appears hungry and unwashed. Typo heree.,2013-10-30,15:09:34,"589 Highland Ave, Gulfport, MS",Hinds County,,0.0,True,Ongoing,Unassigned
123,15.0,Other,Rural,Physical,Medium,Other,No,Ongoing,"Frequent injuries, parents claim accidental. Unclear details.",2015-08-24,19:44:02,"951 Park Ave, Horn Lake, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
